,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
2121,Aygo,2017,9250,Manual,4414,Other,150,68.9,1.0
2122,Aygo,2017,7100,Manual,32351,Petrol,0,68.9,1.0
2123,Aygo,2016,6500,Manual,26193,Petrol,0,69.0,1.0
2124,Aygo,2017,7650,Manual,12134,Petrol,0,68.9,1.0
2125,Aygo,2016,6999,Manual,21123,Petrol,0,69.0,1.0
2126,Aygo,2015,6495,Manual,33931,Petrol,0,69.0,1.0
2127,Aygo,2018,8998,Semi-Auto,19885,Petrol,145,67.3,1.0
2128,Aygo,2017,6998,Manual,36975,Petrol,145,68.9,1.0
2130,Aygo,2017,7498,Manual,40405,Petrol,145,68.9,1.0
2131,Aygo,2017,6800,Manual,32725,Petrol,145,68.9,1.0
2132,Aygo,2017,7498,Manual,14257,Petrol,145,68.9,1.0
2133,Aygo,2019,9998,Manual,3291,Petrol,145,56.5,1.0
2134,Aygo,2017,7998,Manual,11675,Petrol,0,68.9,1.0
2135,Aygo,2019,9498,Manual,2807,Petrol,145,56.5,1.0
2136,Aygo,2014,5985,Manual,24176,Petrol,0,69.0,1.0
2137,Aygo,2017,6522,Manual,30025,Petrol,0,69.0,1.0
2138,Aygo,2016,6995,Manual,13171,Petrol,0,69.0,1.0
2139,Aygo,2017,6995,Manual,10172,Petrol,145,69.0,1.0
2140,Aygo,2017,7495,Manual,20253,Petrol,145,68.9,1.0
2141,Aygo,2017,6895,Manual,8583,Petrol,150,69.0,1.0
2142,Aygo,2016,6995,Manual,18842,Petrol,0,69.0,1.0
2143,Aygo,2017,6995,Manual,9914,Petrol,145,69.0,1.0
2144,Aygo,2017,6795,Manual,19150,Petrol,150,69.0,1.0
2145,Aygo,2016,6495,Manual,19780,Petrol,0,69.0,1.0
2146,Aygo,2017,7395,Manual,19502,Petrol,150,68.9,1.0
2147,Aygo,2017,7995,Manual,9976,Petrol,150,68.9,1.0
2148,Aygo,2017,6522,Manual,28033,Petrol,0,69.0,1.0
2149,Aygo,2017,6495,Manual,24882,Petrol,0,69.0,1.0
2150,Aygo,2017,6995,Manual,8932,Petrol,145,69.0,1.0
2151,Aygo,2016,5995,Manual,31473,Petrol,0,69.0,1.0
2152,Aygo,2019,10995,Manual,355,Petrol,145,57.7,1.0
2153,Aygo,2019,9998,Manual,6721,Petrol,145,57.7,1.0
2154,Aygo,2017,8495,Automatic,23589,Petrol,0,67.0,1.0
2155,Aygo,2019,10295,Manual,2865,Petrol,145,57.7,1.0
2156,Aygo,2018,8890,Manual,6275,Petrol,145,56.5,1.0
2157,Aygo,2017,6798,Manual,13036,Petrol,0,69.0,1.0
2158,Aygo,2017,7498,Manual,13046,Petrol,145,68.9,1.0
2159,Aygo,2017,7998,Manual,11468,Petrol,150,68.9,1.0
2160,Aygo,2019,9260,Manual,150,Petrol,145,56.5,1.0
2161,Aygo,2016,6295,Manual,9000,Petrol,0,69.0,1.0
2162,Aygo,2017,7298,Manual,27268,Petrol,145,69.0,1.0
2163,Aygo,2017,7498,Manual,30001,Petrol,145,68.9,1.0
2164,Aygo,2019,9995,Manual,148,Petrol,145,56.5,1.0
2165,Aygo,2019,10995,Semi-Auto,390,Petrol,145,55.4,1.0
2166,Aygo,2017,7498,Manual,25186,Petrol,0,68.9,1.0
2167,Aygo,2017,9298,Semi-Auto,10559,Petrol,145,67.3,1.0
2169,Aygo,2019,9998,Manual,2347,Petrol,145,56.5,1.0
2170,Aygo,2017,7498,Manual,31693,Petrol,145,68.9,1.0
2171,Aygo,2016,6998,Manual,21145,Petrol,0,69.0,1.0
2172,Aygo,2014,4290,Manual,31010,Petrol,0,65.7,1.0
2173,Aygo,2014,4998,Manual,27809,Petrol,0,65.7,1.0
2174,Aygo,2017,6498,Manual,24512,Petrol,0,69.0,1.0
2175,Aygo,2019,8998,Manual,21786,Petrol,145,56.5,1.0
2176,Aygo,2016,6998,Manual,31501,Petrol,0,69.0,1.0
2177,Aygo,2017,7498,Manual,29978,Petrol,150,68.9,1.0
2178,Aygo,2016,6498,Manual,23901,Petrol,0,69.0,1.0
2179,Aygo,2018,8498,Semi-Auto,41626,Petrol,150,67.3,1.0
2180,Aygo,2017,7998,Manual,8150,Petrol,150,68.9,1.0
2181,Aygo,2016,6498,Manual,25065,Petrol,0,69.0,1.0
2182,Aygo,2014,5498,Manual,36320,Petrol,0,69.0,1.0
2183,Aygo,2017,8498,Manual,7287,Petrol,145,68.9,1.0
2184,Aygo,2017,7498,Manual,25413,Petrol,150,68.9,1.0
2185,Aygo,2017,6798,Manual,9701,Petrol,150,69.0,1.0
2186,Aygo,2017,7998,Manual,15197,Petrol,145,68.9,1.0
2187,Aygo,2017,7298,Manual,16523,Petrol,145,68.9,1.0
2188,Aygo,2017,6998,Manual,8044,Petrol,145,69.0,1.0
2189,Aygo,2017,6998,Manual,13423,Petrol,145,69.0,1.0
2190,Aygo,2017,7998,Manual,12096,Petrol,150,68.9,1.0
2191,Aygo,2018,7998,Manual,18410,Petrol,150,68.9,1.0
2192,Aygo,2015,5998,Manual,24568,Petrol,0,69.0,1.0
2193,Aygo,2015,6498,Manual,36121,Petrol,0,69.0,1.0
2194,Aygo,2018,7698,Manual,17369,Petrol,145,68.9,1.0
2195,Aygo,2017,8998,Manual,14998,Petrol,145,68.9,1.0
2196,Aygo,2017,8998,Manual,12445,Petrol,145,68.9,1.0
2197,Aygo,2017,7998,Manual,11066,Petrol,145,68.9,1.0
2198,Aygo,2017,7998,Manual,7174,Petrol,145,68.9,1.0
2199,Aygo,2014,5998,Manual,33154,Petrol,0,69.0,1.0
2200,Aygo,2018,8998,Manual,12977,Petrol,145,56.5,1.0
2201,Aygo,2017,7498,Manual,16748,Petrol,145,68.9,1.0
2202,Aygo,2018,9298,Manual,8602,Petrol,150,56.5,1.0
2203,Aygo,2017,7698,Manual,13166,Petrol,145,68.9,1.0
2204,Aygo,2017,7998,Manual,10385,Petrol,145,68.9,1.0
2205,Aygo,2017,8498,Manual,16544,Petrol,145,68.9,1.0
2206,Aygo,2017,8498,Manual,13173,Petrol,145,68.9,1.0
2207,Aygo,2018,8498,Manual,10498,Petrol,145,68.9,1.0
2208,Aygo,2018,8298,Manual,13666,Petrol,145,68.9,1.0
2209,Aygo,2019,8998,Manual,3593,Petrol,145,56.5,1.0
2210,Aygo,2015,6470,Manual,39026,Petrol,0,69.0,1.0
2211,Aygo,2017,8498,Manual,14439,Petrol,145,68.9,1.0
2212,Aygo,2017,6998,Manual,20155,Petrol,145,68.9,1.0
2213,Aygo,2018,7990,Manual,10164,Petrol,145,68.9,1.0
2214,Aygo,2017,7498,Manual,15156,Petrol,145,68.9,1.0
2215,Aygo,2017,7498,Manual,17071,Petrol,145,68.9,1.0
2216,Aygo,2017,7498,Manual,14888,Petrol,145,68.9,1.0
2217,Aygo,2017,9440,Semi-Auto,11074,Petrol,145,67.3,1.0
2218,Aygo,2017,5998,Manual,30031,Petrol,0,69.0,1.0
2219,Aygo,2017,7498,Manual,19875,Petrol,145,68.9,1.0
2220,Aygo,2019,8998,Manual,10,Petrol,145,56.5,1.0
2221,Aygo,2017,6298,Manual,27695,Petrol,0,69.0,1.0
2222,Aygo,2017,6698,Manual,14542,Petrol,145,69.0,1.0
2223,Aygo,2016,7130,Manual,23971,Petrol,0,69.0,1.0
2224,Aygo,2013,4320,Manual,35482,Petrol,0,65.7,1.0
2225,Aygo,2019,9990,Manual,3055,Petrol,145,57.7,1.0
2226,Aygo,2014,4495,Manual,19658,Petrol,0,65.7,1.0
2227,Aygo,2016,7298,Manual,15950,Petrol,0,69.0,1.0
2228,Aygo,2020,9995,Manual,500,Petrol,145,56.5,1.0
2229,Aygo,2017,7698,Manual,11881,Petrol,150,68.9,1.0
2230,Aygo,2017,7698,Manual,6291,Petrol,150,68.9,1.0
2231,Aygo,2017,7698,Manual,11211,Petrol,150,68.9,1.0
2232,Aygo,2017,7698,Manual,15126,Petrol,150,68.9,1.0
2233,Aygo,2019,9495,Manual,1360,Petrol,145,56.5,1.0
2235,Aygo,2019,9998,Manual,2519,Petrol,145,56.5,1.0
2236,Aygo,2019,8998,Manual,1620,Petrol,150,56.5,1.0
2237,Aygo,2017,7990,Manual,34697,Petrol,0,69.0,1.0
2238,Aygo,2017,8990,Semi-Auto,15772,Petrol,0,67.3,1.0
2239,Aygo,2015,5620,Manual,32540,Petrol,0,69.0,1.0
2240,Aygo,2017,9498,Semi-Auto,18303,Petrol,0,67.3,1.0
2241,Aygo,2017,8998,Semi-Auto,16007,Petrol,145,67.3,1.0
2242,Aygo,2014,6298,Manual,19438,Petrol,0,69.0,1.0
2243,Aygo,2017,7998,Manual,5008,Petrol,145,68.9,1.0
2244,Aygo,2017,6998,Manual,31571,Petrol,145,68.9,1.0
2245,Aygo,2018,7998,Manual,18752,Petrol,145,68.9,1.0
2246,Aygo,2017,8998,Manual,11925,Petrol,145,68.9,1.0
2247,Aygo,2017,7698,Manual,8243,Petrol,145,68.9,1.0
2248,Aygo,2017,7695,Manual,19700,Petrol,0,68.9,1.0
2249,Aygo,2014,4798,Manual,36493,Petrol,0,65.7,1.0
2250,Aygo,2015,6498,Manual,21261,Petrol,0,69.0,1.0
2251,Aygo,2017,7998,Manual,6730,Petrol,145,68.9,1.0
2252,Aygo,2019,9495,Manual,1360,Petrol,145,56.5,1.0
2253,Aygo,2017,5295,Manual,15666,Petrol,0,69.0,1.0
2254,Aygo,2016,5295,Manual,12076,Petrol,0,69.0,1.0
2255,Aygo,2018,6995,Manual,16283,Petrol,145,69.0,1.0
2256,Aygo,2015,5498,Manual,40599,Petrol,0,69.0,1.0
2257,Aygo,2019,9498,Manual,5826,Petrol,150,56.5,1.0
2258,Aygo,2015,6380,Manual,23365,Petrol,0,69.0,1.0
2259,Aygo,2015,6698,Manual,17517,Petrol,0,69.0,1.0
2260,Aygo,2016,6698,Manual,24183,Petrol,0,69.0,1.0
2261,Aygo,2019,11990,Manual,1546,Petrol,145,56.5,1.0
2262,Aygo,2017,7698,Manual,15635,Petrol,145,68.9,1.0
2263,Aygo,2018,8298,Manual,12051,Petrol,145,56.5,1.0
2264,Aygo,2017,7990,Manual,13649,Petrol,145,68.9,1.0
2265,Aygo,2018,8490,Manual,25000,Petrol,145,56.5,1.0
2266,Aygo,2016,6698,Manual,20169,Petrol,0,69.0,1.0
2267,Aygo,2017,7698,Manual,19654,Petrol,145,68.9,1.0
2268,Aygo,2017,6498,Manual,20949,Petrol,145,69.0,1.0
2269,Aygo,2017,7598,Manual,11737,Petrol,150,68.9,1.0
2270,Aygo,2017,7498,Manual,25223,Petrol,145,68.9,1.0
2271,Aygo,2017,7498,Manual,16912,Petrol,150,68.9,1.0
2272,Aygo,2017,7295,Manual,16044,Petrol,150,69.0,1.0
2273,Aygo,2017,8495,Manual,14751,Petrol,145,68.9,1.0
2274,Aygo,2017,7498,Manual,19458,Petrol,145,68.9,1.0
2275,Aygo,2018,7170,Manual,10018,Petrol,145,69.0,1.0
2276,Aygo,2015,5990,Manual,44000,Petrol,0,69.0,1.0
2277,Aygo,2014,6090,Manual,20607,Petrol,0,69.0,1.0
2278,Aygo,2017,6998,Manual,27735,Petrol,145,68.9,1.0
2279,Aygo,2017,7998,Manual,19520,Petrol,150,68.9,1.0
2280,Aygo,2017,8795,Manual,14485,Petrol,145,68.9,1.0
2281,Aygo,2019,10995,Manual,1094,Petrol,145,57.7,1.0
